symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,per_score,pbr_score,roe_score,debt_score,valuation_score
377330,01140837,이지트로닉스,2025,2025-12-31,2026-06-18,3015.0,24500000000.0,59996523487.0,18924790521.0,41071732966.0,15608822000.0,18630431650.0,13243690331.0,1.57,0.6,38.0,46.08,25,20,25,25,95
407400,01586455,꿈비,2025,2025-12-31,2026-06-18,2370.0,34700000000.0,122661350292.0,54981085889.0,67680264403.0,15071577648.0,4247887533.0,86393559485.0,2.3,0.51,22.27,81.24,25,20,25,25,95
440320,01585155,오픈놀,2025,2025-12-31,2026-06-18,2700.0,26500000000.0,73924274692.0,34869787485.0,39054487207.0,6428485497.0,2764178841.0,88269276682.0,4.12,0.68,16.46,89.28,25,20,25,25,95
000050,00101628,경방,2025,2025-12-31,2026-06-18,8570.0,234900000000.0,1255644259736.0,443817462202.0,811826797534.0,47379145951.0,,,4.96,0.29,5.84,54.67,25,25,15,25,90
000320,00113508,노루홀딩스,2025,2025-12-31,2026-06-18,17850.0,237200000000.0,1279356692133.0,467432298583.0,811924393550.0,58541894001.0,64507992759.0,1239267844107.0,4.05,0.29,7.21,57.57,25,25,15,25,90
000590,00149026,CS홀딩스,2025,2025-12-31,2026-06-18,72800.0,84000000000.0,425396197381.0,31670115640.0,393726081741.0,20996079784.0,20215270547.0,134870815287.0,4.0,0.21,5.33,8.04,25,25,15,25,90
001020,00134723,페이퍼코리아,2025,2025-12-31,2026-06-18,2250.0,80100000000.0,469194967845.0,205462214993.0,263732752852.0,19327198235.0,5279064383.0,266668528958.0,4.14,0.3,7.33,77.91,25,25,15,25,90
001630,00149354,종근당홀딩스,2025,2025-12-31,2026-06-18,41300.0,206900000000.0,1628780738713.0,715725386969.0,913055351744.0,54317390160.0,,,3.81,0.23,5.95,78.39,25,25,15,25,90
001800,00117577,오리온홀딩스,2025,2025-12-31,2026-06-18,26150.0,1638200000000.0,6183410426053.0,1027474078419.0,5155936347634.0,337777860270.0,487728621983.0,3393126199452.0,4.85,0.32,6.55,19.93,25,25,15,25,90
002070,00107677,비비안,2025,2025-12-31,2026-06-18,6860.0,16500000000.0,202247148246.0,119683805013.0,82563343233.0,12605125664.0,5004075308.0,222445054857.0,1.31,0.2,15.27,144.96,25,25,25,15,90
002460,00174527,HS화성,2025,2025-12-31,2026-06-18,13600.0,138000000000.0,742153231447.0,304276445287.0,437876786160.0,30907001990.0,43245443500.0,659478953752.0,4.47,0.32,7.06,69.49,25,25,15,25,90
002920,00174004,유성기업,2025,2025-12-31,2026-06-18,1791.0,46500000000.0,433970393655.0,134340088267.0,299630305388.0,23259745943.0,30023008741.0,304574766277.0,2.0,0.16,7.76,44.84,25,25,15,25,90
003060,00101044,에이프로젠바이오로직스,2025,2025-12-31,2026-06-18,2265.0,32600000000.0,586992600346.0,309425651987.0,277566948359.0,168296872201.0,60354664385.0,73226140158.0,0.19,0.12,60.63,111.48,25,25,25,15,90
003090,00111810,대웅,2025,2025-12-31,2026-06-18,18550.0,1078500000000.0,3232157201634.0,1464831571447.0,1767325630187.0,227906759004.0,261793894978.0,2068370455244.0,4.73,0.61,12.9,82.88,25,20,20,25,90
003100,00131896,선광,2025,2025-12-31,2026-06-18,19120.0,126200000000.0,691288235084.0,257124146671.0,434164088413.0,39481434625.0,,,3.2,0.29,9.09,59.22,25,25,15,25,90
004360,00133812,세방,2025,2025-12-31,2026-06-18,13460.0,257300000000.0,1495953029989.0,287361361968.0,1208591668021.0,65602594475.0,27300616862.0,1241786832538.0,3.92,0.21,5.43,23.78,25,25,15,25,90
005440,00105280,현대지에프홀딩스,2025,2025-12-31,2026-06-18,13920.0,2170200000000.0,10490130570000.0,3183667938000.0,7306462632000.0,518661888000.0,274073694000.0,8091605017000.0,4.18,0.3,7.1,43.57,25,25,15,25,90
005740,00153126,크라운해태홀딩스,2025,2025-12-31,2026-06-18,5890.0,87500000000.0,1195496223664.0,588072580191.0,607423643473.0,33640292917.0,57250687227.0,1069881590060.0,2.6,0.14,5.54,96.81,25,25,15,25,90
005880,00113535,대한해운,2025,2025-12-31,2026-06-18,2090.0,674500000000.0,4109190044284.0,1694535639799.0,2414654404485.0,173260065058.0,207164410184.0,1276968118509.0,3.89,0.28,7.18,70.18,25,25,15,25,90
005990,00120924,매일홀딩스,2025,2025-12-31,2026-06-18,10790.0,143500000000.0,1423606242799.0,567528749023.0,856077493776.0,70217748135.0,,,2.04,0.17,8.2,66.29,25,25,15,25,90
006200,00159254,한국전자홀딩스,2025,2025-12-31,2026-06-18,2335.0,21900000000.0,517233142685.0,139686003303.0,377547139382.0,19780495925.0,14050515935.0,275886966324.0,1.11,0.06,5.24,37.0,25,25,15,25,90
006740,00141404,블루산업개발,2025,2025-12-31,2026-06-18,5550.0,26400000000.0,165184475641.0,82955079643.0,82229395998.0,24487692331.0,15806498653.0,93251674239.0,1.08,0.32,29.78,100.88,25,25,25,15,90
007210,00122898,벽산,2025,2025-12-31,2026-06-18,1624.0,106100000000.0,659778658674.0,285542968336.0,374235690338.0,27359796117.0,23273390192.0,610688417236.0,3.88,0.28,7.31,76.3,25,25,15,25,90
