,Symbol,Name,Industry,IndustryCode
3016,VIRI,Virios Therapeutics LLC,생명과학 및 메디컬 리서치,562020
3017,MBINP,Merchants Bancorp PRF,은행,551010
3018,CLRO,Clearone Inc,커뮤니케이션 및 네트워킹,571020
3019,BBQ,BBQ Holdings Inc,호텔 및 엔터테인먼트,533010
3020,ACER,Acer Therapeutics Inc,생명과학 및 메디컬 리서치,562020
3021,KFFB,Kentucky First Federal Bancorp,은행,551010
3022,HAPP,Happiness Biotech Group Ltd,식품 및 담배,541020
3023,AIKI,Aikido Pharma Inc,생명과학 및 메디컬 리서치,562020
3024,PBHC,Pathfinder Bancorp Inc (MARYLAND),은행,551010
3025,SNSS,Sunesis Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
3026,MDJH,MDJM Ltd,부동산 운영 관리,601010
3027,RILYP,B. Riley Financial Inc ADR,투자은행 및 서비스,551020
3028,ALJJ,ALJ Regional Holdings Inc,전문 및 상업 서비스,522030
3029,PFIE,Profire Energy Inc,오일 및 가스 장비 및 서비스,501030
3030,EVK,Ever-Glory International Group Inc,섬유 및 의류,532020
3031,PT,Pintec Technology Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
3032,IPWR,Ideal Power Inc,재생에너지,502010
3033,IGNYU,Ignyte Acquisition Corp,기타 금융업,556010
3034,DSWL,Deswell Industries Inc,"건설장비 및 대형차, 기차, 배",521020
3035,SGBX,SG Blocks Inc,"건설장비 및 대형차, 기차, 배",521020
3036,LOAN,Manhattan Bridge Capital Inc,주택 및 상업용 리츠,601020
3037,CBMB,CBM Bancorp Inc,은행,551010
3038,VBFC,Village Bank and Trust Financial Corp,은행,551010
3039,LMRKN,Landmark Infrastructure Partners LP Convertible Preference Shares Series C,부동산 운영 관리,601010
3040,BPOPN,Popular Capital Trust I PRF,다양한 금융서비스,555010
3041,PULM,Pulmatrix Inc,생명과학 및 메디컬 리서치,562020
3042,MSVB,Mid-Southern Bancorp Inc,은행,551010
3043,BCACU,Brookline Capital Acquisition Corp.,기타 금융업,556010
3044,HFEN,HF Enterprises Inc,건설 및 엔지니어링,522010
3045,SYPR,Sypris Solutions Inc,자동차 및 자동차 부품,531010
3046,CUEN,Cuentas Inc,소프트웨어 및 IT서비스,572010
3047,ANDA,Andina Acquisition Corp III,기타 금융업,556010
3048,OPGN,OpGen Inc,생명과학 및 메디컬 리서치,562020
3049,MNDO,Mind CTI Ltd,소프트웨어 및 IT서비스,572010
3050,UONE,Urban One Inc Class A,미디어 및 출판,533020
3051,TBLT,Toughbuilt Industries Inc,가정용품,532040
3052,PPIH,Perma-Pipe International Holdings Inc,오일 및 가스 장비 및 서비스,501030
3053,MEDS,Trxade Group Inc,소프트웨어 및 IT서비스,572010
3054,NTWK,NetSol Technologies Inc,소프트웨어 및 IT서비스,572010
3055,TBKCP,Triumph Bancorp Inc ADR,은행,551010
3056,JMPNL,JMP Group LLC PRF,투자은행 및 서비스,551020
3057,QRHC,Quest Resource Holding Corp,전문 및 상업 서비스,522030
3058,HFBL,Home Federal Bancorp Inc of Louisiana,은행,551010
